WD13CD;WD13CDO;WD13NM
E05009269;00HEYD;Stokeclimsland
E05009270;00HEYE;Threemilestone and Gloweth
E05009271;00HEYF;Tintagel
E05009272;00HEYG;Torpoint East
E05009273;00HEYH;Torpoint West
E05009274;00HEYJ;Trelawny
E05009275;00HEYK;Truro Boscawen
E05009276;00HEYL;Truro Redannick
E05009277;00HEYM;Truro Tregolls
E05009278;00HEYN;Truro Trehaverne
E05009279;00HEYP;Wadebridge East
E05009280;00HEYQ;Wadebridge West
E05008322;00HFMA;Bryher
E05008323;00HFMB;St. Agnes
E05008324;00HFMC;St. Martin's
E05008325;00HFMD;St. Mary's
E05008326;00HFME;Tresco
E05002078;00HGMX;Budshead
E05002079;00HGMY;Compton
E05002080;00HGMZ;Devonport
E05002081;00HGNA;Drake
E05002082;00HGNB;Efford and Lipson
E05002083;00HGNC;Eggbuckland
E05002084;00HGND;Ham
E05002085;00HGNE;Honicknowle
E05002086;00HGNF;Moor View
E05002087;00HGNG;Peverell
E05002088;00HGNH;Plympton Chaddlewood
E05002089;00HGNJ;Plympton Erle
E05002090;00HGNK;Plympton St Mary
E05002091;00HGNL;Plymstock Dunstone
E05002092;00HGNM;Plymstock Radford
E05002093;00HGNN;St Budeaux
E05002094;00HGNP;St Peter and the Waterfront
E05002095;00HGNQ;Southway
E05002096;00HGNR;Stoke
E05002097;00HGNS;Sutton and Mount Gould
E05002098;00HHMN;Berry Head-with-Furzeham
E05002099;00HHMP;Blatchcombe
E05002100;00HHMQ;Churston-with-Galmpton
E05002101;00HHMR;Clifton-with-Maidenway
E05002102;00HHMS;Cockington-with-Chelston
E05002103;00HHMT;Ellacombe
E05002104;00HHMU;Goodrington-with-Roselands
E05002105;00HHMW;Preston
E05002106;00HHMX;Roundham-with-Hyde
E05002107;00HHMY;St Marychurch
E05002108;00HHMZ;St Mary's-with-Summercombe
E05002109;00HHNA;Shiphay-with-the-Willows
E05002110;00HHNB;Tormohun
E05002111;00HHNC;Watcombe
E05002112;00HHND;Wellswood
E05002113;00HNMW;Boscombe East
E05002114;00HNMX;Boscombe West
E05002115;00HNMY;Central
E05002116;00HNMZ;East Cliff and Springbourne
E05002117;00HNNA;East Southbourne and Tuckton
E05002118;00HNNB;Kinson North
E05002119;00HNNC;Kinson South
E05002120;00HNND;Littledown and Iford
E05002121;00HNNE;Moordown
E05002122;00HNNF;Queen's Park
E05002123;00HNNG;Redhill and Northbourne
E05002124;00HNNH;Strouden Park
E05002125;00HNNJ;Talbot and Branksome Woods
E05002126;00HNNK;Throop and Muscliff
E05002127;00HNNL;Wallisdown and Winton West
E05002128;00HNNM;West Southbourne
E05002129;00HNNN;Westbourne and West Cliff
E05002130;00HNNP;Winton East
E05002131;00HPMP;Alderney
E05002132;00HPMQ;Branksome East
E05002133;00HPMR;Branksome West
E05002134;00HPMS;Broadstone
E05002135;00HPMT;Canford Cliffs
E05002136;00HPMU;Canford Heath East
E05002137;00HPMW;Canford Heath West
E05002138;00HPMX;Creekmoor
E05002139;00HPMY;Hamworthy East
E05002140;00HPMZ;Hamworthy West
E05002141;00HPNA;Merley and Bearwood
E05002142;00HPNB;Newtown
E05002143;00HPNC;Oakdale
E05002144;00HPND;Parkstone
E05002145;00HPNE;Penn Hill
E05002146;00HPNF;Poole Town
E05008953;00HXNX;Blunsdon and Highworth
E05008954;00HXNY;Central
E05008955;00HXNZ;Chiseldon and Lawn
E05008956;00HXPA;Covingham and Dorcan
E05008957;00HXPB;Eastcott
E05008958;00HXPC;Gorse Hill and Pinehurst
E05008959;00HXPD;Haydon Wick
E05008960;00HXPE;Liden, Eldene and Park South
E05008961;00HXPF;Lydiard and Freshbrook
E05008962;00HXPG;Mannington and Western
E05008963;00HXPH;Old Town
E05008964;00HXPJ;Penhill and Upper Stratton
E05008965;00HXPK;Priory Vale
E05008966;00HXPL;Ridgeway
E05008967;00HXPM;Rodbourne Cheney
E05008968;00HXPN;St Andrews
E05008969;00HXPP;St Margaret and South Marston
E05008970;00HXPQ;Shaw
E05008971;00HXPR;Walcot and Park North
E05008972;00HXPS;Wroughton and Wichelstowe
E05008327;00HYMA;Aldbourne and Ramsbury
E05008328;00HYMB;Alderbury and Whiteparish
E05008329;00HYMC;Amesbury East
E05008330;00HYMD;Amesbury West
E05008331;00HYME;Bourne and Woodford Valley
E05008332;00HYMF;Box and Colerne
E05008333;00HYMG;Bradford-on-Avon North
E05008334;00HYMH;Bradford-on-Avon South
E05008335;00HYMJ;Brinkworth
E05008336;00HYMK;Bromham, Rowde and Potterne
E05008337;00HYML;Bulford, Allington and Figheldean
E05008338;00HYMM;Burbage and the Bedwyns
E05008339;00HYMN;By Brook
E05008340;00HYMP;Calne Central
E05008341;00HYMQ;Calne Chilvester and Abberd
E05008342;00HYMR;Calne North
E05008343;00HYMS;Calne Rural
E05008344;00HYMT;Calne South and Cherhill
E05008345;00HYMU;Chippenham Cepen Park and Derriads
E05008346;00HYMW;Chippenham Cepen Park and Redlands
E05008347;00HYMX;Chippenham Hardenhuish
E05008348;00HYMY;Chippenham Hardens and England
E05008349;00HYMZ;Chippenham Lowden and Rowden
E05008350;00HYNA;Chippenham Monkton
E05008351;00HYNB;Chippenham Pewsham
E05008352;00HYNC;Chippenham Queens and Sheldon
E05008353;00HYND;Corsham Pickwick
E05008354;00HYNE;Corsham Town
E05008355;00HYNF;Corsham Without and Box Hill
E05008356;00HYNG;Cricklade and Latton
E05008357;00HYNH;Devizes and Roundway South
E05008358;00HYNJ;Devizes East
E05008359;00HYNK;Devizes North
E05008360;00HYNL;Downton and Ebble Valley
E05008361;00HYNM;Durrington and Larkhill
E05008362;00HYNN;Ethandune
E05008363;00HYNP;Fovant and Chalke Valley
E05008364;00HYNQ;Hilperton
E05008365;00HYNR;Holt and Staverton
E05008366;00HYNS;Kington
E05008367;00HYNT;Laverstock, Ford and Old Sarum
E05008368;00HYNU;Ludgershall and Perham Down
E05008369;00HYNW;Lyneham
E05008370;00HYNX;Malmesbury
E05008371;00HYNY;Marlborough East
E05008372;00HYNZ;Marlborough West
E05008373;00HYPA;Melksham Central
E05008374;00HYPB;Melksham North
E05008375;00HYPC;Melksham South
E05008376;00HYPD;Melksham Without North
E05008377;00HYPE;Melksham Without South
E05008378;00HYPF;Mere
E05008379;00HYPG;Minety
E05008380;00HYPH;Nadder and East Knoyle
E05008381;00HYPJ;Pewsey
E05008382;00HYPK;Pewsey Vale
E05008383;00HYPL;Purton
E05008384;00HYPM;Redlynch and Landford
E05008385;00HYPN;Roundway
E05008386;00HYPP;Salisbury Bemerton
E05008387;00HYPQ;Salisbury Fisherton and Bemerton Village
E05008388;00HYPR;Salisbury Harnham
E05008389;00HYPS;Salisbury St Edmund and Milford
E05008390;00HYPT;Salisbury St Francis and Stratford
E05008391;00HYPU;Salisbury St Mark's and Bishopdown
E05008392;00HYPW;Salisbury St Martin's and Cathedral
E05008393;00HYPX;Salisbury St Paul's
E05008394;00HYPY;Sherston
E05008395;00HYPZ;Southwick
E05008396;00HYQA;Summerham and Seend
E05008397;00HYQB;The Collingbournes and Netheravon
E05008398;00HYQC;The Lavingtons and Erlestoke
E05008399;00HYQD;Tidworth
E05008400;00HYQE;Till and Wylye Valley
E05008401;00HYQF;Tisbury
E05008402;00HYQG;Trowbridge Adcroft
E05008403;00HYQH;Trowbridge Central
E05008404;00HYQJ;Trowbridge Drynham
E05008405;00HYQK;Trowbridge Grove
E05008406;00HYQL;Trowbridge Lambrok
E05008407;00HYQM;Trowbridge Park
E05008408;00HYQN;Trowbridge Paxcroft
E05008409;00HYQP;Urchfont and The Cannings
E05008410;00HYQQ;Warminster Broadway
E05008411;00HYQR;Warminster Copheap and Wylye
E05008412;00HYQS;Warminster East
E05008413;00HYQT;Warminster West
E05008414;00HYQU;Warminster Without
E05008415;00HYQW;West Selkley
E05008416;00HYQX;Westbury East
E05008417;00HYQY;Westbury North
E05008418;00HYQZ;Westbury West
E05008419;00HYRA;Wilton and Lower Wylye Valley
E05008420;00HYRB;Winsley and Westwood
E05008421;00HYRC;Winterslow
E05008422;00HYRD;Wootton Bassett East
E05008423;00HYRE;Wootton Bassett North
E05008424;00HYRF;Wootton Bassett South
E05002169;00JANB;Barnack
E05002170;00JANC;Bretton North
E05002171;00JAND;Bretton South
E05002172;00JANE;Central
E05002173;00JANF;Dogsthorpe
E05002174;00JANG;East
E05002175;00JANH;Eye and Thorney
E05002176;00JANJ;Fletton and Woodston
E05002177;00JANK;Glinton and Wittering
E05002178;00JANL;Newborough
E05002179;00JANM;North
E05002180;00JANN;Northborough
E05002181;00JANP;Orton Longueville
E05002182;00JANQ;Orton Waterville
E05002183;00JANR;Orton with Hampton
E05002184;00JANS;Park
E05002185;00JANT;Paston
E05002186;00JANU;Ravensthorpe
E05002187;00JANW;Stanground Central
E05002188;00JANX;Stanground East
E05002189;00JANY;Walton
E05002190;00JANZ;Werrington North
E05002191;00JAPA;Werrington South
E05002192;00JAPB;West
E05002193;00KAMS;Barnfield
E05002194;00KAMT;Biscot
E05002195;00KAMU;Bramingham
E05002196;00KAMW;Challney
E05002197;00KAMX;Crawley
E05002198;00KAMY;Dallow
E05002199;00KAMZ;Farley
E05002200;00KANA;High Town
E05002201;00KANB;Icknield
E05002202;00KANC;Leagrave
E05002203;00KAND;Lewsey
E05002204;00KANE;Limbury
E05002205;00KANF;Northwell
E05002206;00KANG;Round Green
E05002207;00KANH;Saints
E05002208;00KANJ;South
E05002209;00KANK;Stopsley
E05002210;00KANL;Sundon Park
E05002211;00KANM;Wigmore
E05008751;00KBND;Brickhill
E05008752;00KBNE;Bromham and Biddenham
E05008753;00KBNF;Castle
E05008754;00KBNG;Cauldwell
E05008755;00KBNH;Clapham
E05008756;00KBNJ;De Parys
E05008757;00KBNK;Eastcotts
E05008758;00KBNL;Elstow and Stewartby
E05008759;00KBNM;Goldington
E05008760;00KBNN;Great Barford
E05008761;00KBNP;Harpur
E05008762;00KBNQ;Harrold
E05008763;00KBNR;Kempston Central and East
E05008764;00KBNS;Kempston North
E05008765;00KBNT;Kempston Rural
E05008766;00KBNU;Kempston South
E05008767;00KBNW;Kempston West
E05008768;00KBNX;Kingsbrook
E05008769;00KBNY;Newnham
E05008770;00KBNZ;Oakley
E05008771;00KBPA;Putnoe
E05008772;00KBPB;Queens Park
E05008773;00KBPC;Riseley
E05008774;00KBPD;Sharnbrook
E05008775;00KBPE;Wilshamstead
E05008776;00KBPF;Wootton
E05008777;00KBPG;Wyboston
E05008778;00KCNF;Ampthill
E05008779;00KCNG;Arlesey
E05008780;00KCNH;Aspley and Woburn
E05008781;00KCNJ;Barton-le-Clay
E05008782;00KCNK;Biggleswade North
E05008783;00KCNL;Biggleswade South
E05008784;00KCNM;Caddington
E05008785;00KCNN;Cranfield and Marston Moretaine
E05008786;00KCNP;Dunstable-Central
E05008787;00KCNQ;Dunstable-Icknield
E05008788;00KCNR;Dunstable-Manshead
E05008789;00KCNS;Dunstable-Northfields
E05008790;00KCNT;Dunstable-Watling
E05008791;00KCNU;Eaton Bray
E05008792;00KCNW;Flitwick
E05008793;00KCNX;Heath and Reach
E05008794;00KCNY;Houghton Conquest and Haynes
E05008795;00KCNZ;Houghton Hall
E05008796;00KCPA;Leighton Buzzard North
E05008797;00KCPB;Leighton Buzzard South
E05008798;00KCPC;Linslade
E05008799;00KCPD;Northill
E05008800;00KCPE;Parkside
E05008801;00KCPF;Potton
E05008802;00KCPG;Sandy
E05008803;00KCPH;Shefford
E05008804;00KCPJ;Silsoe and Shillington
E05008805;00KCPK;Stotfold and Langford
E05008806;00KCPL;Tithe Farm
E05008807;00KCPM;Toddington
E05008808;00KCPN;Westoning, Flitton and Greenfield
E05002212;00KFMP;Belfairs
E05002213;00KFMQ;Blenheim Park
E05002214;00KFMR;Chalkwell
E05002215;00KFMS;Eastwood Park
E05002216;00KFMT;Kursaal
E05002217;00KFMU;Leigh
E05002218;00KFMW;Milton
E05002219;00KFMX;Prittlewell
E05002220;00KFMY;St Laurence
E05002221;00KFMZ;St. Luke's
E05002222;00KFNA;Shoeburyness
E05002223;00KFNB;Southchurch
E05002224;00KFNC;Thorpe
E05002225;00KFND;Victoria
E05002226;00KFNE;Westborough
E05002227;00KFNF;West Leigh
E05002228;00KFNG;West Shoebury
E05002229;00KGMX;Aveley and Uplands
E05002230;00KGMY;Belhus
E05002231;00KGMZ;Chadwell St Mary
E05002232;00KGNA;Chafford and North Stifford
E05002233;00KGNB;Corringham and Fobbing
E05002234;00KGNC;East Tilbury
E05002235;00KGND;Grays Riverside
E05002236;00KGNE;Grays Thurrock
E05002237;00KGNF;Little Thurrock Blackshots
E05002238;00KGNG;Little Thurrock Rectory
E05002239;00KGNH;Ockendon
E05002240;00KGNJ;Orsett
E05002241;00KGNK;South Chafford
E05002242;00KGNL;Stanford East and Corringham Town
E05002243;00KGNM;Stanford-le-Hope West
E05002244;00KGNN;Stifford Clays
E05002245;00KGNP;The Homesteads
E05002246;00KGNQ;Tilbury Riverside and Thurrock Park
E05002247;00KGNR;Tilbury St Chads
E05002248;00KGNS;West Thurrock and South Stifford
E05002249;00LCNN;Chatham Central
E05002250;00LCNP;Cuxton and Halling
E05002251;00LCNQ;Gillingham North
E05002252;00LCNR;Gillingham South
E05002253;00LCNS;Hempstead and Wigmore
E05002254;00LCNT;Lordswood and Capstone
E05002255;00LCNU;Luton and Wayfield
E05002256;00LCNW;Peninsula
E05002257;00LCNX;Princes Park
E05002258;00LCNY;Rainham Central
E05002259;00LCNZ;Rainham North
E05002260;00LCPA;Rainham South
E05002261;00LCPB;River
E05002262;00LCPC;Rochester East
E05002263;00LCPD;Rochester South and Horsted
E05002264;00LCPE;Rochester West
E05002265;00LCPF;Strood North
E05002266;00LCPG;Strood Rural
E05002267;00LCPH;Strood South
E05002268;00LCPJ;Twydall
E05002269;00LCPK;Walderslade
E05002270;00LCPL;Watling
E05002271;00MAMW;Ascot
E05002272;00MAMX;Binfield with Warfield
E05002273;00MAMY;Bullbrook
E05002274;00MAMZ;Central Sandhurst
E05002275;00MANA;College Town
E05002276;00MANB;Crown Wood
E05002277;00MANC;Crowthorne
E05002278;00MAND;Great Hollands North
E05002279;00MANE;Great Hollands South
E05002280;00MANF;Hanworth
E05002281;00MANG;Harmans Water
E05002282;00MANH;Little Sandhurst and Wellington
E05002283;00MANJ;Old Bracknell
E05002284;00MANK;Owlsmoor
E05002285;00MANL;Priestwood and Garth
E05002286;00MANM;Warfield Harvest Ride
E05002287;00MANN;Wildridings and Central
E05002288;00MANP;Winkfield and Cranbourne
E05002289;00MBNJ;Aldermaston
E05002290;00MBNK;Basildon
E05002291;00MBNL;Birch Copse
E05002292;00MBNM;Bucklebury
E05002293;00MBNN;Burghfield
E05002294;00MBNP;Calcot
E05002295;00MBNQ;Chieveley
E05002296;00MBNR;Clay Hill
E05002297;00MBNS;Cold Ash
E05002298;00MBNT;Compton
E05002299;00MBNU;Downlands
E05002300;00MBNW;Falkland
E05002301;00MBNX;Greenham
E05002302;00MBNY;Hungerford
E05002303;00MBNZ;Kintbury
E05002304;00MBPA;Lambourn Valley
E05002305;00MBPB;Mortimer
E05002306;00MBPC;Northcroft
E05002307;00MBPD;Pangbourne
E05002308;00MBPE;Purley on Thames
E05002309;00MBPF;St Johns
E05002310;00MBPG;Speen
E05002311;00MBPH;Sulhamstead
E05002312;00MBPJ;Thatcham Central
E05002313;00MBPK;Thatcham North
E05002314;00MBPL;Thatcham South and Crookham
E05002315;00MBPM;Thatcham West
E05002316;00MBPN;Theale
E05002317;00MBPP;Victoria
E05002318;00MBPQ;Westwood
E05002319;00MCMR;Abbey
E05002320;00MCMS;Battle
E05002321;00MCMT;Caversham
E05002322;00MCMU;Church
E05002323;00MCMW;Katesgrove
E05002324;00MCMX;Kentwood
E05002325;00MCMY;Mapledurham
E05002326;00MCMZ;Minster
E05002327;00MCNA;Norcot
E05002328;00MCNB;Park
E05002329;00MCNC;Peppard
E05002330;00MCND;Redlands
E05002331;00MCNE;Southcote
E05002332;00MCNF;Thames
E05002333;00MCNG;Tilehurst
E05002334;00MCNH;Whitley
E05002335;00MDMQ;Baylis and Stoke
E05002336;00MDMR;Britwell
E05002337;00MDMS;Central
E05002338;00MDMT;Chalvey
E05002339;00MDMU;Cippenham Green
E05002340;00MDMW;Cippenham Meadows
E05002341;00MDMX;Colnbrook with Poyle
E05002342;00MDMY;Farnham
E05002343;00MDMZ;Foxborough
E05002344;00MDNA;Haymill
E05002345;00MDNB;Kedermister
E05002346;00MDNC;Langley St Mary's
E05002347;00MDND;Upton
E05002348;00MDNE;Wexham Lea
E05002349;00MEMZ;Ascot and Cheapside
E05002350;00MENA;Belmont
E05002351;00MENB;Bisham and Cookham
E05002352;00MENC;Boyn Hill
E05002353;00MEND;Bray
E05002354;00MENE;Castle Without
E05002355;00MENF;Clewer East
E05002356;00MENG;Clewer North
E05002357;00MENH;Clewer South
E05002358;00MENJ;Cox Green
E05002359;00MENK;Datchet
E05002360;00MENL;Eton and Castle
E05002361;00MENM;Eton Wick
E05002362;00MENN;Furze Platt
E05002363;00MENP;Horton and Wraysbury
E05002364;00MENQ;Hurley and Walthams
E05002365;00MENR;Maidenhead Riverside
E05002366;00MENS;Old Windsor
E05002367;00MENT;Oldfield
E05002368;00MENU;Park
E05002369;00MENW;Pinkneys Green
E05002370;00MENX;Sunningdale
E05002371;00MENY;Sunninghill and South Ascot
E05002372;00MFNB;Arborfield
E05002373;00MFNC;Barkham
E05002374;00MFND;Bulmershe and Whitegates
E05002375;00MFNE;Charvil
E05002376;00MFNF;Coronation
E05002377;00MFNG;Emmbrook
E05002378;00MFNH;Evendons
E05002379;00MFNJ;Finchampstead North
E05002380;00MFNK;Finchampstead South
E05002381;00MFNL;Hawkedon
E05002382;00MFNM;Hillside
E05002383;00MFNN;Hurst
E05002384;00MFNP;Loddon
E05002385;00MFNQ;Maiden Erlegh
E05002386;00MFNR;Norreys
E05002387;00MFNS;Remenham, Wargrave and Ruscombe
E05002388;00MFNT;Shinfield North
E05002389;00MFNU;Shinfield South
E05002390;00MFNW;Sonning
E05002391;00MFNX;South Lake
E05002392;00MFNY;Swallowfield
E05002393;00MFNZ;Twyford
E05002394;00MFPA;Wescott
E05002395;00MFPB;Winnersh
E05002396;00MFPC;Wokingham Without
E05002397;00MGNB;Bletchley and Fenny Stratford
E05002398;00MGNC;Bradwell
E05002399;00MGND;Campbell Park
E05002400;00MGNE;Danesborough
E05002401;00MGNF;Denbigh
E05002402;00MGNG;Eaton Manor
E05002403;00MGNH;Emerson Valley
E05002404;00MGNJ;Furzton
E05002405;00MGNK;Hanslope Park
E05002406;00MGNL;Linford North
E05002407;00MGNM;Linford South
E05002408;00MGNN;Loughton Park
E05002409;00MGNP;Middleton
E05002410;00MGNQ;Newport Pagnell North
E05002411;00MGNR;Newport Pagnell South
E05002412;00MGNS;Olney
E05002413;00MGNT;Sherington
E05002414;00MGNU;Stantonbury
E05002415;00MGNW;Stony Stratford
E05002416;00MGNX;Walton Park
E05002417;00MGNY;Whaddon
E05002418;00MGNZ;Wolverton
E05002419;00MGPA;Woughton
E05002420;00MLND;Brunswick and Adelaide
E05002421;00MLNE;Central Hove
E05002422;00MLNF;East Brighton
E05002423;00MLNG;Goldsmid
E05002424;00MLNH;Hangleton and Knoll
E05002425;00MLNJ;Hanover and Elm Grove
E05002426;00MLNK;Hollingdean and Stanmer
E05002427;00MLNL;Moulsecoomb and Bevendean
E05002428;00MLNM;North Portslade
E05002429;00MLNN;Patcham
E05002430;00MLNP;Preston Park
E05002431;00MLNQ;Queen's Park
E05002432;00MLNR;Regency
E05002433;00MLNS;Rottingdean Coastal
E05002434;00MLNT;St. Peter's and North Laine
E05002435;00MLNU;South Portslade
E05002436;00MLNW;Hove Park
E05002437;00MLNX;Westbourne
E05002438;00MLNY;Wish
E05002439;00MLNZ;Withdean
E05002440;00MLPA;Woodingdean
E05002441;00MRMP;Baffins
E05002442;00MRMQ;Central Southsea
E05002443;00MRMR;Charles Dickens
E05002444;00MRMS;Copnor
E05002445;00MRMT;Cosham
E05002446;00MRMU;Drayton and Farlington
E05002447;00MRMW;Eastney and Craneswater
E05002448;00MRMX;Fratton
E05002449;00MRMY;Hilsea
E05002450;00MRMZ;Milton
E05002451;00MRNA;Nelson
E05002452;00MRNB;Paulsgrove
E05002453;00MRNC;St Jude
E05002454;00MRND;St Thomas
E05002455;00MSMR;Bargate
E05002456;00MSMS;Bassett
E05002457;00MSMT;Bevois
E05002458;00MSMU;Bitterne
E05002459;00MSMW;Bitterne Park
E05002460;00MSMX;Coxford
E05002461;00MSMY;Freemantle
E05002462;00MSMZ;Harefield
E05002463;00MSNA;Millbrook
E05002464;00MSNB;Peartree
E05002465;00MSNC;Portswood
E05002466;00MSND;Redbridge
E05002467;00MSNE;Shirley
E05002468;00MSNF;Sholing
E05002469;00MSNG;Swaythling
E05002470;00MSNH;Woolston
E05008479;00MWRE;Arreton and Newchurch
E05008480;00MWRF;Binstead and Fishbourne
E05008481;00MWRG;Brading, St Helens and Bembridge
E05008482;00MWRH;Carisbrooke
E05008483;00MWRJ;Central Wight
E05008484;00MWRK;Chale, Niton and Whitwell
E05008485;00MWRL;Cowes Medina
E05008486;00MWRM;Cowes North
E05008487;00MWRN;Cowes South and Northwood
E05008488;00MWRP;Cowes West and Gurnard
E05008489;00MWRQ;East Cowes
E05008490;00MWRR;Freshwater North
E05008491;00MWRS;Freshwater South
E05008492;00MWRT;Godshill and Wroxall
E05008493;00MWRU;Havenstreet, Ashey and Haylands
E05008494;00MWRW;Lake North
E05008495;00MWRX;Lake South
E05008496;00MWRY;Nettlestone and Seaview
E05008497;00MWRZ;Newport Central
E05008498;00MWSA;Newport East
E05008499;00MWSB;Newport North
E05008500;00MWSC;Newport South
E05008501;00MWSD;Newport West
E05008502;00MWSE;Parkhurst
E05008503;00MWSF;Ryde East
E05008504;00MWSG;Ryde North East
E05008505;00MWSH;Ryde North West
E05008506;00MWSJ;Ryde South
E05008507;00MWSK;Ryde West
E05008508;00MWSL;Sandown North
E05008509;00MWSM;Sandown South
E05008510;00MWSN;Shanklin Central
E05008511;00MWSP;Shanklin South
E05008512;00MWSQ;Totland
E05008513;00MWSR;Ventnor East
E05008514;00MWSS;Ventnor West
E05008515;00MWST;West Wight
E05008516;00MWSU;Whippingham and Osborne
E05008517;00MWSW;Wootton Bridge
W05000981;00NANT;Aethwy
W05000982;00NANU;Bro Aberffraw
W05000983;00NANW;Bro Rhosyr
W05000984;00NANX;Caergybi
W05000985;00NANY;Canolbarth M�n
W05000986;00NANZ;Llif�n
W05000987;00NAPA;Lligwy
W05000988;00NAPB;Seiriol
W05000989;00NAPC;Talybolion
W05000990;00NAPD;Twrcelyn
W05000991;00NAPE;Ynys Gybi
W05000041;00NCQA;Aberdaron
W05000042;00NCQB;Aberdovey
W05000043;00NCQC;Abererch
W05000044;00NCQD;Abermaw
W05000045;00NCQE;Abersoch
W05000046;00NCQF;Arllechwedd
W05000047;00NCQG;Bala
W05000048;00NCQH;Bethel
W05000049;00NCQJ;Bontnewydd
W05000050;00NCQK;Botwnnog
W05000051;00NCQL;Bowydd and Rhiw
W05000052;00NCQM;Brithdir and Llanfachreth/Ganllwyd/Llanelltyd
W05000053;00NCQN;Bryn-crug/Llanfihangel
W05000054;00NCQP;Cadnant
W05000055;00NCQQ;Clynnog
W05000056;00NCQR;Corris/Mawddwy
W05000057;00NCQS;Criccieth
W05000058;00NCQT;Cwm-y-Glo
W05000059;00NCQU;Deiniol
W05000060;00NCQW;Deiniolen
W05000061;00NCQX;Dewi
W05000062;00NCQY;Diffwys and Maenofferen
W05000063;00NCQZ;Dolbenmaen
W05000064;00NCRA;Dolgellau North
W05000065;00NCRB;Dolgellau South
W05000066;00NCRC;Dyffryn Ardudwy
W05000067;00NCRD;Efail-newydd/Buan
W05000068;00NCRE;Garth
W05000069;00NCRF;Gerlan
W05000070;00NCRG;Glyder
W05000071;00NCRH;Groeslon
W05000072;00NCRJ;Harlech
W05000073;00NCRK;Hendre
W05000074;00NCRL;Hirael
W05000075;00NCRM;Llanaelhaearn
W05000076;00NCRN;Llanbedr
W05000077;00NCRP;Llanbedrog
W05000078;00NCRQ;Llanberis
W05000079;00NCRR;Llandderfel
W05000080;00NCRS;Llanengan
W05000081;00NCRT;Llangelynin
W05000082;00NCRU;Llanllyfni
W05000083;00NCRW;Llanrug
W05000084;00NCRX;Llanuwchllyn
W05000085;00NCRY;Llanwnda
W05000086;00NCRZ;Llanystumdwy
W05000087;00NCSA;Marchog
W05000088;00NCSB;Menai (Bangor)
W05000089;00NCSC;Menai (Caernarfon)
W05000090;00NCSD;Morfa Nefyn
W05000091;00NCSE;Nefyn
W05000092;00NCSF;Ogwen
W05000093;00NCSG;Peblig (Caernarfon)
W05000094;00NCSH;Penisarwaun
W05000095;00NCSJ;Penrhyndeudraeth
W05000096;00NCSK;Pentir
W05000097;00NCSL;Penygroes
W05000098;00NCSM;Porthmadog East
W05000099;00NCSN;Porthmadog West
W05000100;00NCSP;Porthmadog-Tremadog
W05000101;00NCSQ;Pwllheli North
W05000102;00NCSR;Pwllheli South
W05000103;00NCST;Seiont
W05000104;00NCSU;Talysarn
W05000105;00NCSW;Teigl
W05000106;00NCSX;Trawsfynydd
W05000107;00NCSY;Tregarth & Mynydd Llandygai
W05000108;00NCSZ;Tudweiliog
W05000109;00NCTA;Tywyn
W05000110;00NCTB;Waunfawr
W05000111;00NCTC;Y Felinheli
W05000112;00NENT;Abergele Pensarn
W05000113;00NENU;Betws-y-Coed
W05000114;00NENW;Betws yn Rhos
W05000115;00NENX;Bryn
W05000116;00NENY;Caerhun
W05000117;00NENZ;Capelulo
W05000118;00NEPA;Colwyn
W05000119;00NEPB;Conwy
W05000913;00NEPC;Craig-y-Don
W05000121;00NEPD;Crwst
W05000914;00NEPE;Deganwy
W05000123;00NEPF;Eglwysbach
W05000124;00NEPG;Eirias
W05000125;00NEPH;Gele
W05000126;00NEPJ;Glyn
W05000127;00NEPK;Gogarth
W05000128;00NEPL;Gower
W05000129;00NEPM;Kinmel Bay
W05000130;00NEPN;Llanddulas
W05000131;00NEPP;Llandrillo yn Rhos
W05000132;00NEPQ;Llangernyw
W05000133;00NEPR;Llansanffraid
W05000134;00NEPS;Llansannan
W05000135;00NEPT;Llysfaen
W05000915;00NEPU;Marl
W05000137;00NEPW;Mochdre
W05000138;00NEPX;Mostyn
W05000139;00NEPY;Pandy
W05000140;00NEPZ;Pant-yr-afon/Penmaenan
W05000916;00NEQA;Penrhyn
W05000917;00NEQB;Pensarn
W05000143;00NEQC;Pentre Mawr
W05000144;00NEQD;Rhiw
W05000145;00NEQE;Towyn
W05000146;00NEQF;Trefriw
W05000918;00NEQG;Tudno
W05000148;00NEQH;Uwch Conwy
W05000149;00NEQJ;Uwchaled
W05000150;00NGNK;Bodelwyddan
W05000151;00NGNL;Corwen
W05000152;00NGNM;Denbigh Central
W05000153;00NGNN;Denbigh Lower
W05000154;00NGNP;Denbigh Upper/Henllan
W05000155;00NGNQ;Dyserth
W05000156;00NGNR;Efenechtyd
W05000157;00NGNS;Llanarmon-yn-Ial/Llandegla
W05000158;00NGNT;Llanbedr Dyffryn Clwyd/Llangynhafal
W05000159;00NGNU;Llandrillo
W05000160;00NGNW;Llandyrnog
W05000161;00NGNX;Llanfair Dyffryn Clwyd/Gwyddelwern
W05000162;00NGNY;Llangollen
W05000163;00NGNZ;Llanrhaeadr-yng-Nghinmeirch
W05000164;00NGPA;Prestatyn Central
W05000165;00NGPB;Prestatyn East
W05000166;00NGPC;Prestatyn Meliden
W05000167;00NGPD;Prestatyn North
W05000168;00NGPE;Prestatyn South West
W05000169;00NGPF;Rhuddlan
